,sentence
0, reported on recent developments in foreign exchange markets.
1,There were no open market operations in foreign currencies for the System's account in the period since the previous meeting.
2,"The Manager also reported on developments in domestic financial markets and on System open market transactions in government securities and securities issued or fully guaranteed by federal agencies during the period January 28, 2004, through March 15, 2004."
3,"By unanimous vote, the Committee ratified these transactions."
4,The information reviewed at this meeting suggested that economic activity continued to expand at a solid pace in early 2004.
5,"Consumer spending growth appeared to have picked up somewhat, and activity in the housing market remained at high levels."
6,"In the business sector, spending for equipment and software was apparently advancing vigorously, and firms were adding modestly to their inventories."
7,"Still, the increases in economic activity had not yet generated sizable gains in employment."
8,"Core consumer price inflation remained low, and expectations of future inflation continued to be subdued."
9,The January and February employment reports depicted a labor market that was slow to pick up momentum.
10,The modest gains posted in private nonfarm payrolls over the period were smaller than had been expected by most forecasters.
11,"Employment in the manufacturing sector, which had fallen continually for over three years, was essentially unchanged in February, while employment in other sectors showed mixed changes."
12,Average weekly hours of production or nonsupervisory workers edged above the average level of the fourth quarter of 2003.
13,"Despite the weakness in employment, the unemployment rate in January and February came in below its fourth-quarter level."
14,Industrial production moved up briskly in January and February following strong increases in the fourth quarter.
15,These gains in production were realized across a wide set of industries.
16,"High-tech industries, including semiconductors, computers, and communications equipment, posted particularly strong advances, while the production of motor vehicles and the output of other manufacturing sectors were also strong."
17,"Outside the manufacturing sector, power generation by utilities surged in January but fell back in February in response to outsized swings in average temperatures during those months."
18,"Capacity utilization continued to move higher in January and February, although it remained below its longer-run average."
19,Consumer spending growth in recent months appeared to pick up somewhat from its pace in the fourth quarter of 2003.
20,"Retail sales rose briskly, on average, in January and February, and spending on services was up in January (the most recent month for which data were available)."
21,"In contrast, purchases of motor vehicles slipped in January and February from the strong pace in the fourth quarter."
22,"Overall, expenditures were supported by sizable gains in real disposable personal income and increases in household wealth owing to rising home and equity prices."
23,Disposable income was boosted by significant growth in private wages and salaries and by a drop in taxes that was due to the lower final payments and higher refunds associated with last year's tax cut.
24,Surveys indicated that consumer sentiment moved higher in January but subsequently fell back.
25,"Despite the pullback, sentiment remained above the levels seen during most of 2003."
26,Activity in the housing market moderated in January and February from its elevated pace in the fourth quarter.
27,"Single-family housing starts and permits stepped down, although both measures remained above their average levels of the first three quarters of 2003."
28,"Housing starts in the multifamily sector slipped only slightly from the fourth quarter pace, even though vacancy rates reached a record high level in the fourth quarter."
29,"Sales of new and existing homes slowed in January, but this change retraced only a small part of the extraordinary run-up in home sales that began last spring."
30,Home prices continued to rise briskly.
31,Spending on capital goods had advanced at a vigorous pace in the fourth quarter and appeared to be continuing that growth early this year.
32,Spending by businesses was supported by increases in their sales and the continuation of strong cash flows and a low user cost of capital.
33,"Nominal shipments of computing and communication equipment moved up sharply in recent months, as did shipments outside the high-tech sector."
34,"By contrast, business investment in transportation equipment was mixed."
35,Data for new orders of nondefense capital goods excluding aircraft suggested that the strength in capital expenditures would continue going forward.
36,"As has been the case for some time, real spending on private nonresidential structures languished, and vacancies in industrial buildings and office properties were at high levels."
37,Real nonfarm inventory investment remained modest in recent months.
38,"Although manufacturers' inventories moved higher in January, that increase primarily reflected stockbuilding at producers of petroleum and coal products."
39,"Retail inventories also rose in January, as stocks at auto dealers increased; wholesalers accumulated inventories at a modest pace."
40,Inventory-sales ratios in these sectors lingered at or near their historical lows.
