,sentence
0,they offered abundant employment opportunities and provided economic stability to the area.
1,"as a result, it has been grappling with the same challenges that have gripped a number of our nation's cities: decreased tax revenues, increased poverty and unemployment, and deficient infrastructure."
2,"a review of census bureau data reveals that during the past thirty years, much of the population and economic growth in metropolitan areas across the country has occurred in the suburbs, not in the central cities."
3,"while the average annual unemployment rate in east st. louis decreased between 1991 and 2001, it is still high, consistently registering in the double digits."
4,such investment yields sustainable growth.
5,"although these efforts originated with the vision of updating and improving the housing and economic conditions in urban neighborhoods, over time this one-dimensional federal housing policy had unintended consequences, including displacing residents, demoralizing communities, and creating concentrations of poverty, unemployment, and crime."
6,"comprehensive approaches to community development while the availability of credit and capital has long been recognized as critical to fostering economic growth, many other factors contribute to the success of a market, including a skilled workforce and adequate support systems, such as educational institutions and transportation."
7,"in recognition of this, community developers came to realize that bricks-and-mortar development alone cannot revitalize distressed communities and that more-comprehensive approaches are necessary to foster sustainable growth."
8,"in this regard, the progression of community development policy is instructive in both effective and ineffective strategies and underscores the importance of creative partnerships in spearheading growth and development."
9,"other partners committed to improving the future of east st. louis include the casino queen foundation, which has funded a 24-hour daycare facility to help meet the child care demands of a wide variety of workers, and the jackie joyner-kersee boys & girls club, which recently partnered with intel corporation to provide computer access and training for youth through intel computer club houses."
